candidate_id,found_at,source_type,source_tier,source_name,speaker,candidate_text,source_url,collection_query,rejection_reason,reviewed_by,reviewed_at
RJ-001,2026-07-25,manager,A,Goal.com,Thomas Tuchel,"I think that it interrupts and changes the identity of a football match much more than I thought",https://www.goal.com/en/lists/hydration-breaks-world-cup-soccer/bltd6e78a4ecb03abc7,goal.com hydration breaks world cup,"generic criticism of breaks - no specific match and no specific break identified",claude,2026-07-25
RJ-002,2026-07-25,manager,A,Goal.com,Thomas Tuchel,"I had an idea in the last water break but I was a bit hesitant",https://www.goal.com/en/lists/hydration-breaks-world-cup-soccer/bltd6e78a4ecb03abc7,goal.com hydration breaks world cup,"tied to England-Ghana but attributes NO change to the break - describes an idea he did not act on",claude,2026-07-25
RJ-003,2026-07-25,manager,A,Goal.com,Sebastien Migne,"We had the cooling break and we were actually aligned with what we anticipated",https://www.goal.com/en/lists/hydration-breaks-world-cup-soccer/bltd6e78a4ecb03abc7,goal.com hydration breaks world cup,"no change attributed - states the plan was unchanged by the break",claude,2026-07-25
RJ-004,2026-07-25,manager,A,Goal.com,Mauricio Pochettino,"I think it was necessary. It was really hot and it was good to have the water",https://www.goal.com/en/lists/hydration-breaks-world-cup-soccer/bltd6e78a4ecb03abc7,goal.com hydration breaks world cup,"welfare opinion - no claim that a break changed a match",claude,2026-07-25
RJ-005,2026-07-25,manager,A,Goal.com,Marcelo Bielsa,"In my view it adds nothing and takes away a lot",https://www.goal.com/en/lists/hydration-breaks-world-cup-soccer/bltd6e78a4ecb03abc7,goal.com hydration breaks world cup,"generic criticism - no specific match or break",claude,2026-07-25
RJ-006,2026-07-25,player,A,Goal.com,Kai Havertz,"They're usually annoying especially when you've just had two or three good situations",https://www.goal.com/en/lists/hydration-breaks-world-cup-soccer/bltd6e78a4ecb03abc7,goal.com hydration breaks world cup,"generic irritation - no specific match or break identified",claude,2026-07-25
RJ-007,2026-07-25,player,A,Yahoo Sports,Virgil van Dijk,"breaks are not ideal for viewers when conditions do not require them",https://sports.yahoo.com/articles/world-cup-hydration-breaks-explained-134627018.html,world cup hydration breaks explained,"generic viewer-experience opinion - no outcome attributed to any match",claude,2026-07-25
RJ-008,2026-07-25,media,D,Yahoo Sports,commentator Yash (@Odriozolite),"graphic suggesting momentum can shift around hydration breaks",https://sports.yahoo.com/articles/world-cup-hydration-breaks-explained-134627018.html,world cup hydration breaks explained,"social-media source (tier D) and unspecific - article itself labels it anecdotal",claude,2026-07-25
RJ-009,2026-07-25,manager,A,Middle East Eye,Thomas Christiansen,"the team could use the breaks for corrections",https://www.middleeasteye.net/news/world-cup-2026-did-hydration-breaks-foil-campaigns-arab-teams,world cup 2026 coach hydration break regroup,"forward-looking general use of breaks - no change attributed to a specific break",claude,2026-07-25
RJ-010,2026-07-25,media,C,world-cup-schedule.com,article paraphrase,"Ancelotti adjusted pressing triggers and repositioned Vinicius Junior; six minutes after the restart Vinicius equalised",https://www.world-cup-schedule.com/blog/world-cup-2026-new-rules-guide-hydration-substitutions-var,hydration break world cup 2026 tactical change,"tier C aggregator paraphrasing actions rather than quoting an A/B speaker; match not stated explicitly",claude,2026-07-25
RJ-011,2026-07-25,manager,A,Goal.com,Luis Enrique,"The teams are suffering. In terms of play it's impossible to perform at a very high level for 90 minutes",https://www.goal.com/en/lists/hydration-breaks-world-cup-soccer/bltd6e78a4ecb03abc7,goal.com hydration breaks world cup,"refers to Club World Cup conditions - not a WC2026 match and no break-specific claim",claude,2026-07-25
RJ-012,2026-07-25,media,A,Goal.com,Gianni Infantino,"What matters even more to us is ensuring that all teams in every match are playing under the same conditions",https://www.goal.com/en/lists/hydration-breaks-world-cup-soccer/bltd6e78a4ecb03abc7,goal.com hydration breaks world cup,"policy statement - no match-level claim",claude,2026-07-25
